accident_id,0,factor_id,1
3556,3556,37,37
3128,3128,37,37
596,596,43,43
596,596,101,101
3140,3140,37,37
3148,3148,31,31
3149,3149,31,31
3574,3574,37,37
3149,3149,43,43
3577,3577,37,37
3578,3578,37,37
3150,3150,37,37
3163,3163,37,37
3171,3171,43,43
3173,3173,37,37
3584,3584,37,37
3182,3182,37,37
3586,3586,37,37
3183,3183,37,37
3588,3588,37,37
3589,3589,37,37
3186,3186,43,43
3594,3594,31,31
3594,3594,43,43
3595,3595,31,31
3595,3595,43,43
3205,3205,37,37
3217,3217,37,37
3218,3218,37,37
3605,3605,37,37
3222,3222,37,37
3224,3224,101,101
3610,3610,31,31
3613,3613,37,37
3614,3614,31,31
3257,3257,37,37
3258,3258,31,31
3265,3265,31,31
3621,3621,31,31
3622,3622,31,31
101633,101633,31,31
3622,3622,101,101
3265,3265,43,43
3294,3294,31,31
3294,3294,34,34
3629,3629,37,37
3630,3630,37,37
3297,3297,31,31
3632,3632,43,43
3637,3637,37,37
3297,3297,43,43
3305,3305,31,31
3308,3308,43,43
3309,3309,35,35
3649,3649,37,37
3650,3650,37,37
3309,3309,101,101
3315,3315,36,36
3316,3316,31,31
3656,3656,37,37
3316,3316,36,36
3316,3316,43,43
3316,3316,101,101
3660,3660,37,37
3319,3319,31,31
3319,3319,43,43
3322,3322,31,31
3322,3322,101,101
3325,3325,101,101
3326,3326,37,37
3327,3327,42,42
3340,3340,37,37
1045,1045,31,31
3348,3348,35,35
3350,3350,37,37
3681,3681,37,37
1045,1045,43,43
3355,3355,37,37
3356,3356,31,31
3357,3357,31,31
3357,3357,101,101
3363,3363,37,37
3370,3370,37,37
3698,3698,31,31
3699,3699,31,31
3390,3390,37,37
3703,3703,37,37
3393,3393,31,31
3393,3393,35,35
3708,3708,31,31
3708,3708,32,32
3708,3708,33,33
3715,3715,37,37
3393,3393,101,101
3394,3394,34,34
3400,3400,31,31
3400,3400,43,43
3724,3724,32,32
3725,3725,37,37
3728,3728,43,43
3416,3416,101,101
3733,3733,37,37
3419,3419,31,31
3735,3735,31,31
3430,3430,37,37
3737,3737,101,101
3738,3738,31,31
3436,3436,37,37
3437,3437,37,37
3441,3441,37,37
3742,3742,31,31
3449,3449,31,31
3746,3746,37,37
3750,3750,37,37
3449,3449,43,43
37436,37436,43,43
3753,3753,37,37
3754,3754,38,38
37436,37436,101,101
3452,3452,31,31
3452,3452,43,43
3453,3453,37,37
3766,3766,101,101
3767,3767,43,43
3456,3456,43,43
3769,3769,40,40
3457,3457,37,37
3460,3460,101,101
3461,3461,31,31
3461,3461,43,43
