accident_id,0,cause_id,1
2751,2751,14,14
34956,34956,12,12
2753,2753,7,7
2755,2755,7,7
3514,3514,14,14
2759,2759,7,7
2783,2783,7,7
2831,2831,86,86
2848,2848,7,7
2855,2855,3,3
2876,2876,4,4
2887,2887,18,18
2912,2912,7,7
2926,2926,16,16
2928,2928,7,7
2937,2937,12,12
3532,3532,3,3
2943,2943,4,4
3534,3534,86,86
2955,2955,13,13
2976,2976,7,7
3006,3006,7,7
3538,3538,14,14
3013,3013,15,15
3541,3541,14,14
3543,3543,18,18
3045,3045,86,86
3057,3057,12,12
3546,3546,12,12
3547,3547,3,3
3076,3076,7,7
3080,3080,7,7
94737,94737,86,86
3087,3087,4,4
3551,3551,86,86
3088,3088,10,10
3090,3090,13,13
3091,3091,86,86
3094,3094,3,3
3096,3096,3,3
3556,3556,4,4
3556,3556,7,7
3096,3096,86,86
3562,3562,14,14
3563,3563,14,14
3098,3098,13,13
3100,3100,13,13
3566,3566,16,16
3567,3567,14,14
3109,3109,3,3
3110,3110,3,3
3572,3572,14,14
3573,3573,14,14
3574,3574,7,7
3575,3575,14,14
3112,3112,86,86
3577,3577,12,12
3578,3578,4,4
3113,3113,11,11
3115,3115,86,86
3580,3580,14,14
